                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.68602,                0.50641,                0.84829,                0.96398,                0.96709,                0.98347,                0.67734,                 1.1904,                0.55251,                0.96171,              0.0004951,              0.0004951,              0.0004951
                     53,                0.70889,                0.51179,                0.84577,                0.96898,                0.93354,                0.97716,                0.66315,                 1.2347,                0.55795,                0.97887,              0.0004852,              0.0004852,              0.0004852
                     54,                0.65569,                0.47657,                0.84365,                0.95776,                0.95432,                0.97274,                0.66377,                 1.1897,                0.54765,                 0.9687,              0.0004753,              0.0004753,              0.0004753
                     55,                0.67315,                 0.4886,                0.84309,                0.96823,                0.95409,                0.97973,                 0.6739,                 1.2183,                0.54572,                0.97768,              0.0004654,              0.0004654,              0.0004654
                     56,                0.67314,                 0.4875,                0.84484,                0.96094,                 0.9457,                0.97175,                0.67146,                 1.2111,                0.55138,                0.97765,              0.0004555,              0.0004555,              0.0004555
                     57,                0.66705,                0.48401,                0.84207,                0.97112,                0.95296,                 0.9796,                0.67803,                  1.194,                 0.5531,                0.96938,              0.0004456,              0.0004456,              0.0004456
                     58,                0.67361,                0.48488,                0.84686,                0.96736,                0.96081,                0.98289,                0.67153,                 1.2176,                0.56125,                0.97179,              0.0004357,              0.0004357,              0.0004357
                     59,                0.66304,                0.47102,                0.83888,                 0.9656,                0.94826,                0.97762,                0.67926,                 1.1972,                0.52712,                0.96422,              0.0004258,              0.0004258,              0.0004258
                     60,                 0.6642,                0.48173,                 0.8492,                 0.9622,                0.94159,                0.96862,                0.67148,                  1.201,                0.54001,                0.96523,              0.0004159,              0.0004159,              0.0004159
                     61,                0.65675,                0.46065,                0.84388,                0.97351,                0.95813,                 0.9804,                0.67507,                 1.2272,                0.51474,                0.97078,               0.000406,               0.000406,               0.000406
                     62,                0.66566,                0.48988,                0.84243,                0.95826,                0.96029,                 0.9802,                0.67759,                 1.1965,                0.54864,                0.96612,              0.0003961,              0.0003961,              0.0003961
                     63,                0.66672,                0.46566,                  0.844,                0.98301,                0.93082,                0.96674,                0.66164,                  1.204,                0.54602,                 0.9675,              0.0003862,              0.0003862,              0.0003862
                     64,                0.65643,                0.46105,                0.84103,                0.96431,                0.97174,                0.98538,                0.67764,                 1.1845,                0.50563,                0.95977,              0.0003763,              0.0003763,              0.0003763
                     65,                0.66213,                0.45797,                0.84195,                 0.9506,                0.96572,                0.98104,                0.67174,                 1.2116,                0.53988,                0.96561,              0.0003664,              0.0003664,              0.0003664
                     66,                0.66739,                0.45893,                0.84279,                0.96753,                0.95372,                0.98085,                0.67508,                 1.1789,                0.51456,                0.95783,              0.0003565,              0.0003565,              0.0003565
                     67,                0.63882,                0.45418,                0.83872,                0.97513,                0.95626,                0.98215,                 0.6754,                 1.1973,                0.52994,                0.96583,              0.0003466,              0.0003466,              0.0003466
                     68,                0.63254,                 0.4495,                0.83571,                0.95472,                0.95365,                0.97961,                0.68094,                 1.1914,                 0.5381,                0.96334,              0.0003367,              0.0003367,              0.0003367
                     69,                0.64586,                0.45607,                0.84127,                0.94654,                 0.9651,                0.98189,                0.68141,                 1.2051,                0.52811,                 0.9658,              0.0003268,              0.0003268,              0.0003268
                     70,                0.64051,                0.44485,                0.83657,                0.96385,                0.95789,                0.97653,                0.67572,                 1.2073,                0.53061,                0.96821,              0.0003169,              0.0003169,              0.0003169
                     71,                0.62322,                0.44877,                0.83666,                0.96832,                0.93987,                0.96755,                0.67654,                 1.1801,                0.53064,                0.96025,               0.000307,               0.000307,               0.000307
                     72,                0.64283,                0.45228,                0.84051,                0.97681,                0.95782,                0.98176,                0.68309,                 1.1779,                0.51253,                0.95867,              0.0002971,              0.0002971,              0.0002971
                     73,                 0.6261,                0.43755,                0.83583,                0.97383,                0.95565,                0.98079,                0.68691,                 1.1731,                 0.5358,                0.95316,              0.0002872,              0.0002872,              0.0002872
                     74,                0.64417,                0.44888,                0.84548,                0.97988,                 0.9149,                0.95723,                0.65997,                   1.23,                0.54361,                0.97373,              0.0002773,              0.0002773,              0.0002773
                     75,                 0.6234,                0.43762,                 0.8356,                0.95058,                0.93877,                0.96643,                0.67288,                 1.1841,                0.61425,                0.96337,              0.0002674,              0.0002674,              0.0002674
                     76,                0.62986,                0.43645,                0.83178,                0.97339,                0.91586,                0.95944,                0.66195,                 1.2038,                0.56618,                0.96718,              0.0002575,              0.0002575,              0.0002575
                     77,                0.61614,                 0.4249,                0.83234,                0.97525,                0.96207,                0.98434,                0.68353,                 1.1713,                0.51192,                0.95747,              0.0002476,              0.0002476,              0.0002476
                     78,                 0.6339,                0.43415,                0.83774,                0.97131,                0.96323,                0.98465,                0.69084,                 1.1541,                0.50822,                0.95094,              0.0002377,              0.0002377,              0.0002377
                     79,                0.61682,                0.42025,                 0.8353,                0.97885,                0.96764,                0.98671,                 0.6891,                 1.1755,                0.50598,                0.95961,              0.0002278,              0.0002278,              0.0002278
                     80,                0.64034,                0.43713,                0.83306,                0.97665,                0.95925,                0.98452,                  0.689,                 1.1828,                0.51863,                0.95948,              0.0002179,              0.0002179,              0.0002179
                     81,                0.61051,                 0.4222,                0.83372,                0.97591,                  0.963,                0.98632,                0.68598,                 1.1774,                0.49945,                0.96135,               0.000208,               0.000208,               0.000208
                     82,                 0.6382,                0.43116,                0.83592,                0.97773,                0.95942,                0.98295,                0.68215,                 1.1849,                0.50632,                0.96121,              0.0001981,              0.0001981,              0.0001981
                     83,                0.59786,                0.41263,                0.82833,                0.97113,                0.95333,                0.97953,                0.68425,                 1.1767,                0.54465,                0.95841,              0.0001882,              0.0001882,              0.0001882
                     84,                0.59558,                0.41346,                0.83014,                0.97895,                0.94929,                0.97904,                0.67746,                 1.1802,                0.50371,                0.96176,              0.0001783,              0.0001783,              0.0001783
                     85,                0.59798,                0.41024,                0.82989,                0.97697,                0.97125,                0.98628,                0.68454,                  1.175,                0.51511,                0.96093,              0.0001684,              0.0001684,              0.0001684
                     86,                0.63907,                0.42501,                0.84056,                0.97931,                0.96277,                 0.9843,                0.68483,                  1.185,                0.50483,                0.96811,              0.0001585,              0.0001585,              0.0001585
                     87,                0.60691,                0.40424,                0.83344,                0.97377,                0.96555,                0.98342,                0.68988,                 1.1846,                0.49512,                0.96619,              0.0001486,              0.0001486,              0.0001486
                     88,                0.61235,                0.40822,                0.83462,                0.98831,                0.95932,                0.98416,                0.68698,                 1.1798,                0.50272,                0.96407,              0.0001387,              0.0001387,              0.0001387
                     89,                0.58528,                0.39685,                0.82399,                 0.9718,                0.94095,                0.96776,                0.67162,                  1.211,                0.51257,                0.97396,              0.0001288,              0.0001288,              0.0001288
                     90,                0.59873,                0.39791,                0.83141,                0.98011,                0.94916,                0.97501,                0.67857,                 1.2127,                0.50162,                0.97281,              0.0001189,              0.0001189,              0.0001189
                     91,                0.59683,                0.40738,                 0.8334,                0.97535,                 0.9563,                 0.9812,                 0.6901,                 1.1843,                0.49278,                0.95942,               0.000109,               0.000109,               0.000109
                     92,                0.57648,                0.39036,                0.82917,                0.96975,                0.96021,                 0.9815,                0.69134,                 1.1866,                 0.4908,                0.96172,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.55964,                0.37706,                0.82236,                0.97701,                0.96234,                0.98567,                0.69621,                 1.1736,                0.47713,                0.95778,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.55541,                 0.3734,                0.82405,                0.97347,                0.96634,                0.98762,                  0.695,                 1.1849,                0.48577,                0.96283,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.56856,                0.37894,                0.82789,                0.97617,                0.96523,                0.98771,                0.69746,                 1.1704,                 0.4893,                0.95723,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.56278,                0.37676,                0.82572,                0.97185,                0.96738,                0.98695,                0.69718,                  1.171,                0.49038,                0.96041,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.56849,                0.37746,                0.82859,                0.98057,                0.96936,                0.98761,                0.69504,                 1.1735,                0.49308,                0.96098,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.55511,                0.36732,                0.81864,                0.97508,                0.97001,                0.98715,                0.69072,                 1.1805,                0.49792,                0.96497,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.54901,                 0.3662,                0.82174,                 0.9783,                0.96525,                0.98705,                0.69691,                 1.1671,                0.49143,                0.96205,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.54083,                0.35847,                0.82054,                 0.9759,                0.93501,                0.96861,                0.67508,                 1.2028,                 0.5002,                0.97247,               1.99e-05,               1.99e-05,               1.99e-05
